GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
112268284	0.00261	5.32e-07	0.571	-5.014314	-2.8614821	2234.96	LOC112268284	
106632264	0.00338	1.38e-06	0.559	-4.8275837	-2.6984931	13444.68	RNA28SN1	RNA, 28S ribosomal N1
109910379	0.02531	1.55e-05	0.543	-4.3212514	-2.3461485	40921.24	RNA45SN3	RNA, 45S pre-ribosomal N3
4691	0.03552	3.47e-05	0.289	-4.1398847	-1.1981588	2207.63	NCL	nucleolin
106631777	0.03552	3.63e-05	0.549	-4.1299424	-2.2684205	42674.26	RNA45SN1	RNA, 45S pre-ribosomal N1
109864280	0.04422	6.32e-05	0.536	-4.0004212	-2.1451828	3191.11	RNA18SN2	RNA, 18S ribosomal N2
1038	0.04422	5.85e-05	0.473	-4.0189457	-1.9004099	60864.67	CDR1	cerebellar degeneration related 1
109910382	0.04678	7.65e-05	0.72	-3.9552516	-2.8464988	27347.72	RNA28SN3	RNA, 28S ribosomal N3
5860	0.04895	1.00e-04	0.481	-3.8905928	-1.8699425	844.88	QDPR	quinoid dihydropteridine reductase
106631781	0.04895	9.59e-05	0.561	-3.9006823	-2.1901676	28751.33	RNA18SN1	RNA, 18S ribosomal N1
83543	0.05082	1.14e-04	0.536	-3.8582519	-2.0669963	667.84	AIF1L	allograft inflammatory factor 1 like
109864282	0.06805	1.67e-04	0.795	-3.7645916	-2.9938711	18208.64	RNA28SN2	RNA, 28S ribosomal N2
3550	0.06887	1.83e-04	0.255	-3.7415144	-0.9552659	375.25	IK	IK cytokine
109910380	0.09378	2.68e-04	0.469	-3.644208	-1.7101954	12570.34	RNA18SN3	RNA, 18S ribosomal N3
109864272	0.10289	3.15e-04	0.686	-3.6023955	-2.4695282	57928.77	RNA28SN4	RNA, 28S ribosomal N4
109864279	0.1282	4.19e-04	0.692	-3.5277881	-2.4416191	23765.15	RNA45SN2	RNA, 45S pre-ribosomal N2
81796	0.1598	5.88e-04	0.527	-3.4372687	-1.8110627	1173.94	SLCO5A1	solute carrier organic anion transporter family member 5A1
109864273	0.1598	5.61e-04	0.679	-3.4496698	-2.3414254	18517.56	RNA18SN4	RNA, 18S pre-ribosomal N4
93377	0.16205	6.95e-04	0.523	-3.3914627	-1.7743371	637.97	OPALIN	oligodendrocytic myelin paranodal and inner loop protein
8661	0.16205	6.36e-04	0.25	-3.4159595	-0.8524183	1260.2	EIF3A	eukaryotic translation initiation factor 3 subunit A
107984805	0.16205	6.83e-04	0.282	3.3964072	0.9590752	623.3	LOC107984805	uncharacterized LOC107984805
100008589	0.17089	7.68e-04	0.683	-3.3640595	-2.2964824	33022.2	RNA28SN5	RNA, 28S ribosomal N5
64344	0.20068	9.43e-04	0.336	3.307017	1.1122121	262.86	HIF3A	hypoxia inducible factor 3 subunit alpha
3798	0.2182	1.07e-03	0.345	-3.271491	-1.128149	12817.01	KIF5A	kinesin family member 5A
100008588	0.22184	1.13e-03	0.674	-3.2552383	-2.1940276	51934.9	RNA18SN5	RNA, 18S ribosomal N5
102724250	0.2563	1.47e-03	0.274	-3.1813228	-0.8712506	330.47	LOC102724250	neuroblastoma breakpoint family member 1-like
10335	0.2563	1.42e-03	0.326	3.1900854	1.0386989	781.68	IRAG1	inositol 1,4,5-triphosphate receptor associated 1
2197	0.2563	1.44e-03	0.304	-3.1867172	-0.9681072	287.38	FAU	FAU ubiquitin like and ribosomal protein S30 fusion
6542	0.26	1.54e-03	0.452	3.1669705	1.4314951	227.89	SLC7A2	solute carrier family 7 member 2
23207	0.26704	1.69e-03	0.326	-3.1397114	-1.0236115	677.9	PLEKHM2	pleckstrin homology and RUN domain containing M2
2962	0.26704	1.67e-03	0.258	-3.1430545	-0.8114081	232.45	GTF2F1	general transcription factor IIF subunit 1
27336	0.28428	1.86e-03	0.32	-3.1119761	-0.9960179	457.31	HTATSF1	HIV-1 Tat specific factor 1
8490	0.28637	1.98e-03	0.333	3.0927358	1.0288717	967.05	RGS5	regulator of G protein signaling 5
23	0.28637	2.61e-03	0.219	-3.0101517	-0.659056	230.22	ABCF1	ATP binding cassette subfamily F member 1
7461	0.28637	2.93e-03	0.337	-2.9754969	-1.0033026	795.38	CLIP2	CAP-Gly domain containing linker protein 2
23522	0.28637	2.89e-03	0.278	-2.9793562	-0.8279176	725.77	KAT6B	lysine acetyltransferase 6B
2495	0.28637	2.77e-03	0.299	-2.9920635	-0.8949882	1883.58	FTH1	ferritin heavy chain 1
10413	0.28637	2.49e-03	0.342	3.0241887	1.0343164	328.78	YAP1	Yes1 associated transcriptional regulator
23091	0.28637	2.68e-03	0.302	-3.0024285	-0.9070117	1688.87	ZC3H13	zinc finger CCCH-type containing 13
105378179	0.28637	2.52e-03	0.434	-3.0215096	-1.311062	103644.6	LOC105378179	uncharacterized LOC105378179
378706	0.28637	2.51e-03	0.434	-3.0219434	-1.3115037	103627.02	RN7SL2	RNA component of signal recognition particle 7SL2
10749	0.28637	2.52e-03	0.546	-3.0207681	-1.6506173	1296.93	KIF1C	kinesin family member 1C
1267	0.28637	2.54e-03	0.481	-3.018161	-1.4511009	1888.6	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase
5414	0.28637	2.05e-03	0.476	-3.0835896	-1.4693219	1416.29	SEPTIN4	septin 4
26207	0.28637	2.69e-03	0.312	3.00098	0.9363581	456.02	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1
11140	0.28637	2.38e-03	0.275	-3.0380056	-0.8349956	353.7	CDC37	cell division cycle 37, HSP90 cochaperone
770	0.28637	2.09e-03	0.293	-3.0765388	-0.9024132	352.28	CA11	carbonic anhydrase 11
6203	0.28637	2.92e-03	0.316	-2.9757782	-0.9411055	329.51	RPS9	ribosomal protein S9
1827	0.28637	2.90e-03	0.388	-2.978363	-1.1563043	286.5	RCAN1	regulator of calcineurin 1
4303	0.28637	2.38e-03	0.504	-3.0379155	-1.5316785	289.12	FOXO4	forkhead box O4
6181	0.3057	3.19e-03	0.366	-2.9492938	-1.0788132	391.35	RPLP2	ribosomal protein lateral stalk subunit P2
11333	0.30661	3.32e-03	0.265	-2.9364629	-0.7784736	214	PDAP1	PDGFA associated protein 1
5533	0.30661	3.30e-03	0.324	2.9382362	0.9505655	243.27	PPP3CC	protein phosphatase 3 catalytic subunit gamma
9448	0.33569	3.70e-03	0.473	-2.902399	-1.3725115	3986.62	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
93621	0.33704	3.82e-03	0.302	-2.8927518	-0.8745432	766.35	MRFAP1	Morf4 family associated protein 1
6662	0.33704	3.92e-03	0.301	2.8841495	0.8674739	333.89	SOX9	SRY-box transcription factor 9
1059	0.33704	3.90e-03	0.485	-2.8857498	-1.3986543	276.53	CENPB	centromere protein B
9416	0.34549	4.25e-03	0.261	-2.8588956	-0.7474247	289.16	DDX23	DEAD-box helicase 23
5596	0.34549	4.30e-03	0.33	2.8551383	0.9411317	658.29	MAPK4	mitogen-activated protein kinase 4
6205	0.34549	4.31e-03	0.354	-2.8548722	-1.0094211	896.85	RPS11	ribosomal protein S11
6122	0.34549	4.30e-03	0.31	-2.8552766	-0.8841772	1828.41	RPL3	ribosomal protein L3
6209	0.35554	4.58e-03	0.336	-2.8354679	-0.9522199	406.04	RPS15	ribosomal protein S15
109864271	0.35554	4.52e-03	0.815	-2.8392745	-2.314864	79386.24	RNA45SN4	RNA, 45S pre-ribosomal N4
23500	0.35963	4.90e-03	0.502	-2.8136898	-1.4123855	1492.53	DAAM2	dishevelled associated activator of morphogenesis 2
22927	0.35963	4.91e-03	0.316	-2.8129313	-0.8900227	473.23	HABP4	hyaluronan binding protein 4
10541	0.35963	4.92e-03	0.463	-2.8120693	-1.3023776	395.14	ANP32B	acidic nuclear phosphoprotein 32 family member B
378707	0.35963	4.71e-03	0.407	-2.8260107	-1.1511921	12705.51	RN7SL3	RNA component of signal recognition particle 7SL3
