"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa00190","hsa00190","Oxidative phosphorylation",3,0.999989486392982,1.27291557604903,7.37334330840061e-05,7.37334330840061e-05,0.0113316644529104,1,"tags=33%, list=0%, signal=34%","4509"
"hsa05012","hsa05012","Parkinson disease",6,0.999969010402601,1.20796931356209,0.000230678896202137,0.000230678896202137,0.0177258520239537,1,"tags=17%, list=0%, signal=17%","4509"
"hsa05020","hsa05020","Prion disease",7,0.999950081137245,1.19124607095709,0.0012858445121748,0.0012858445121748,0.0552483827124439,1,"tags=14%, list=0%, signal=15%","4509"
"hsa05016","hsa05016","Huntington disease",6,0.99994394948551,1.2079390398051,0.00173331183036067,0.00173331183036067,0.0552483827124439,1,"tags=17%, list=0%, signal=17%","4509"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",10,0.999905401618628,1.17428046560367,0.00179746450605554,0.00179746450605554,0.0552483827124439,1,"tags=10%, list=0%, signal=10%","4509"
"hsa05415","hsa05415","Diabetic cardiomyopathy",6,0.997359917081013,1.2048175112203,0.00502823912418068,0.00502823912418068,0.121179028473474,1,"tags=17%, list=0%, signal=17%","4509"
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",5,0.9999245422548,1.22545306234398,0.00551945574896302,0.00551945574896302,0.121179028473474,1,"tags=20%, list=0%, signal=20%","4509"
"hsa04120","hsa04120","Ubiquitin mediated proteolysis",5,0.996244981663798,1.22094359327529,0.0117040536700462,0.0117040536700462,0.19333308080041,2,"tags=20%, list=1%, signal=20%","8924"
"hsa04714","hsa04714","Thermogenesis",3,0.995954180036166,1.2677789177285,0.0131298970296863,0.0131298970296863,0.19333308080041,1,"tags=33%, list=0%, signal=34%","4509"
"hsa05010","hsa05010","Alzheimer disease",8,0.993832093139433,1.18126221634549,0.0134016102226217,0.0134016102226217,0.19333308080041,1,"tags=12%, list=0%, signal=13%","4509"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",13,0.993775518968292,1.15819146724687,0.0138378814682485,0.0138378814682485,0.19333308080041,1,"tags=8%, list=0%, signal=8%","4509"
"hsa01100","hsa01100","Metabolic pathways",38,0.979487638767447,1.13594367530557,0.038961038961039,0.038961038961039,0.498974709501025,1,"tags=3%, list=0%, signal=3%","4509"
